transaction_amount,transaction_card_type,transaction_ecommerce_website_name,transaction_country_name,transaction_datetime,transaction_id,transaction_city_name,transaction_product_name
50.85,MasterCard,www.ebay.com,India,14-05-2019 15:24,1,Mumbai,Laptop
259.12,MasterCard,www.amazon.com,India,14-05-2019 15:24,2,Pune,Wrist Band
328.16,MasterCard,www.flipkart.com,United States,14-05-2019 15:24,3,New York City,TV Stand
399.06,Visa,www.snapdeal.com,Inida,14-05-2019 15:24,4,New Delhi,TV Stand
194.52,Visa,www.ebay.com,Italy,14-05-2019 15:24,5,Rome,External Hard Drive
415.65,Maestro,www.flipkart.com,India,14-05-2019 15:24,6,Kolkata,TV
467.12,MasterCard,www.amazon.com,India,14-05-2019 15:24,7,Kolkata,Wrist Watch
361.61,Visa,www.ebay.com,India,14-05-2019 15:24,8,Kolkata,Laptop
357.34,Maestro,www.amazon.com,India,14-05-2019 15:24,9,Bangalore,Text Books
495.91,Visa,www.snapdeal.com,India,14-05-2019 15:24,10,Bangalore,Laptop
546.01,Visa,www.snapdeal.com,India,14-05-2019 15:24,11,Hyderabad,External Hard Drive
384.41,MasterCard,www.snapdeal.com,India,14-05-2019 15:24,12,Bangalore,LAN Cable
144.32,MasterCard,www.snapdeal.com,Thailand,14-05-2019 15:24,13,Bangkok,Wrist Band
108.46,MasterCard,www.snapdeal.com,India,14-05-2019 15:24,14,Kolkata,External Hard Drive
356.26,Visa,www.ebay.com,India,14-05-2019 15:24,15,Hyderabad,Mobile Phone
142.84,Visa,www.flipkart.com,United Kingdom,14-05-2019 15:24,16,London,Laptop
425.12,Maestro,www.ebay.com,India,14-05-2019 15:24,17,Kolkata,Pen Drive
526.77,MasterCard,www.snapdeal.com,Singapore,14-05-2019 15:24,18,Singapore,Text Books
238.7,Maestro,www.amazon.com,India,14-05-2019 15:24,19,Mumbai,Text Books
409.09,Visa,www.flipkart.com,Italy,14-05-2019 15:24,20,Rome,TV Stand
73.31,MasterCard,www.ebay.com,India,14-05-2019 15:24,21,Bangalore,Desktop Computer
383.26,MasterCard,www.amazon.com,India,14-05-2019 15:24,22,Pune,TV Stand
126.14,Maestro,www.ebay.com,India,14-05-2019 15:24,23,Bangalore,TV
223.35,Maestro,www.flipkart.com,India,14-05-2019 15:24,24,Hyderabad,TV Stand
273.33,MasterCard,www.flipkart.com,Italy,14-05-2019 15:24,25,Rome,Desktop Computer
66.37,MasterCard,www.snapdeal.com,United States,14-05-2019 15:24,26,New York City,TV Stand
226.29,Maestro,www.flipkart.com,India,14-05-2019 15:24,27,Kolkata,Laptop
81.17,MasterCard,www.ebay.com,India,14-05-2019 15:24,28,Kolkata,TV
113.86,Visa,www.amazon.com,United States,14-05-2019 15:24,29,New York City,Mobile Phone
324.22,Visa,www.snapdeal.com,India,14-05-2019 15:24,30,Hyderabad,External Hard Drive
119.76,Maestro,www.flipkart.com,India,14-05-2019 15:24,31,Mumbai,Wrist Watch
103.16,Maestro,www.ebay.com,Thailand,14-05-2019 15:24,32,Bangkok,HDMI Cable
41.85,Maestro,www.snapdeal.com,India,14-05-2019 15:24,33,Hyderabad,Pen Drive
420.44,MasterCard,www.ebay.com,India,14-05-2019 15:24,34,Kolkata,Mobile Phone
105.67,MasterCard,www.flipkart.com,United States,14-05-2019 15:24,35,New York City,LAN Cable
167.72,Visa,www.amazon.com,India,14-05-2019 15:24,36,Mumbai,Pen Drive
98.71,Visa,www.snapdeal.com,France,14-05-2019 15:24,37,Paris,TV
422.85,Maestro,www.snapdeal.com,Israel,14-05-2019 15:24,38,Jerusalem,Pen Drive
516.49,MasterCard,www.ebay.com,India,14-05-2019 15:24,39,Mumbai,Wrist Band
300.83,Maestro,www.flipkart.com,India,14-05-2019 15:24,40,Hyderabad,Wrist Band
437.26,Maestro,www.ebay.com,India,14-05-2019 15:24,41,Pune,HDMI Cable
73.92,Visa,www.amazon.com,Italy,14-05-2019 15:24,42,Rome,TV Stand
522.51,MasterCard,www.flipkart.com,Singapore,14-05-2019 15:24,43,Singapore,Mobile Phone
462.37,Maestro,www.snapdeal.com,India,14-05-2019 15:24,44,Bangalore,LAN Cable
185.57,MasterCard,www.amazon.com,India,14-05-2019 15:24,45,Mumbai,Wrist Band
248.88,MasterCard,www.flipkart.com,France,14-05-2019 15:24,46,Paris,Laptop
488.52,Maestro,www.flipkart.com,India,14-05-2019 15:24,47,Kolkata,Wrist Band
220.48,Visa,www.snapdeal.com,India,14-05-2019 15:24,48,Mumbai,Text Books
553.36,MasterCard,www.amazon.com,India,14-05-2019 15:25,49,Kolkata,Text Books
265.77,Visa,www.snapdeal.com,Singapore,14-05-2019 15:25,50,Singapore,Pen Drive
530.51,MasterCard,www.ebay.com,United States,14-05-2019 15:25,51,New York City,Desktop Computer
490.54,Visa,www.amazon.com,India,14-05-2019 15:25,52,Mumbai,HDMI Cable
215.59,MasterCard,www.flipkart.com,India,14-05-2019 15:25,53,Kolkata,TV
102.84,Maestro,www.flipkart.com,India,14-05-2019 15:25,54,Chennai,Wrist Band
158.92,Maestro,www.snapdeal.com,France,14-05-2019 15:25,55,Paris,TV Stand
258.35,Visa,www.amazon.com,India,14-05-2019 15:25,56,Mumbai,HDMI Cable
498.95,Maestro,www.ebay.com,United States,14-05-2019 15:25,57,New York City,Mobile Phone
341.11,MasterCard,www.flipkart.com,United Kingdom,14-05-2019 15:25,58,London,Mobile Phone
427.66,Visa,www.ebay.com,United Kingdom,14-05-2019 15:25,59,London,TV
51.7,MasterCard,www.ebay.com,United States,14-05-2019 15:25,60,New York City,TV
374.22,Visa,www.amazon.com,Israel,14-05-2019 15:25,61,Jerusalem,Text Books
57.94,Maestro,www.snapdeal.com,United Kingdom,14-05-2019 15:25,62,London,Wrist Band
536.88,MasterCard,www.ebay.com,Thailand,14-05-2019 15:25,63,Bangkok,LAN Cable
236.41,MasterCard,www.amazon.com,Singapore,14-05-2019 15:25,64,Singapore,Wrist Watch
339.6,Visa,www.snapdeal.com,United States,14-05-2019 15:25,65,New York City,Wrist Band
239.3,Maestro,www.amazon.com,Italy,14-05-2019 15:25,66,Rome,TV
43.31,Maestro,www.snapdeal.com,United States,14-05-2019 15:25,67,New York City,Desktop Computer
285.75,Maestro,www.ebay.com,India,14-05-2019 15:25,68,Hyderabad,Pen Drive
138.72,Maestro,www.amazon.com,France,14-05-2019 15:25,69,Paris,External Hard Drive
127.9,Visa,www.snapdeal.com,Italy,14-05-2019 15:25,70,Rome,Laptop
253.48,Visa,www.snapdeal.com,Singapore,14-05-2019 15:25,71,Singapore,Wrist Watch
452.82,MasterCard,www.flipkart.com,India,14-05-2019 15:25,72,Kolkata,HDMI Cable
486.73,Maestro,www.flipkart.com,Inida,14-05-2019 15:25,73,New Delhi,Wrist Watch
289.02,Visa,www.amazon.com,United States,14-05-2019 15:25,74,New York City,Text Books
508.9,Maestro,www.ebay.com,India,14-05-2019 15:25,75,Bangalore,Text Books
496.45,Visa,www.amazon.com,India,14-05-2019 15:25,76,Bangalore,Laptop
312.8,Maestro,www.ebay.com,India,14-05-2019 15:25,77,Hyderabad,Wrist Band
437.53,Visa,www.flipkart.com,India,14-05-2019 15:25,78,Chennai,HDMI Cable
482.42,Visa,www.snapdeal.com,United Kingdom,14-05-2019 15:25,79,London,Mobile Phone
241.29,Visa,www.snapdeal.com,India,14-05-2019 15:25,80,Pune,Text Books
305.17,Maestro,www.snapdeal.com,United Kingdom,14-05-2019 15:25,81,London,Wrist Band
215.24,MasterCard,www.ebay.com,Inida,14-05-2019 15:25,82,New Delhi,External Hard Drive
544.25,Visa,www.amazon.com,Inida,14-05-2019 15:25,83,New Delhi,TV Stand
104.65,MasterCard,www.snapdeal.com,India,14-05-2019 15:25,84,Chennai,TV
104.58,MasterCard,www.flipkart.com,United Kingdom,14-05-2019 15:25,85,London,Wrist Band
336.2,Maestro,www.ebay.com,Thailand,14-05-2019 15:25,86,Bangkok,TV
433.83,Visa,www.ebay.com,Thailand,14-05-2019 15:25,87,Bangkok,Text Books
170.29,Visa,www.ebay.com,United States,14-05-2019 15:25,88,New York City,TV
50.49,Visa,www.snapdeal.com,India,14-05-2019 15:25,89,Kolkata,Wrist Band
228.82,MasterCard,www.snapdeal.com,United States,14-05-2019 15:25,90,New York City,Wrist Watch
246.08,MasterCard,www.ebay.com,Italy,14-05-2019 15:25,91,Rome,Pen Drive
333.7,MasterCard,www.amazon.com,India,14-05-2019 15:25,92,Mumbai,External Hard Drive
528.2,Visa,www.flipkart.com,Thailand,14-05-2019 15:25,93,Bangkok,TV
54.51,Maestro,www.ebay.com,United States,14-05-2019 15:25,94,New York City,Laptop
271.76,Maestro,www.ebay.com,Israel,14-05-2019 15:25,95,Jerusalem,Mobile Phone
226.74,Maestro,www.ebay.com,Thailand,14-05-2019 15:25,96,Bangkok,External Hard Drive
120.17,MasterCard,www.amazon.com,Israel,14-05-2019 15:25,97,Jerusalem,HDMI Cable
110.45,MasterCard,www.amazon.com,Italy,14-05-2019 15:25,98,Rome,Laptop
466.11,Visa,www.amazon.com,India,14-05-2019 15:25,99,Kolkata,Text Books
407.11,Maestro,www.snapdeal.com,Italy,14-05-2019 15:25,100,Rome,HDMI Cable
280.18,MasterCard,www.snapdeal.com,Inida,14-05-2019 15:25,101,New Delhi,LAN Cable
160.98,Visa,www.flipkart.com,Singapore,14-05-2019 15:25,102,Singapore,TV
56.33,MasterCard,www.amazon.com,Singapore,14-05-2019 15:25,103,Singapore,Mobile Phone
248.99,Visa,www.flipkart.com,Italy,14-05-2019 15:25,104,Rome,Laptop
344.49,Visa,www.flipkart.com,Thailand,14-05-2019 15:25,105,Bangkok,Wrist Band
217.15,Visa,www.snapdeal.com,United Kingdom,14-05-2019 15:25,106,London,Pen Drive
15.93,MasterCard,www.amazon.com,Singapore,14-05-2019 15:25,107,Singapore,External Hard Drive
413.7,Maestro,www.snapdeal.com,India,14-05-2019 15:25,108,Kolkata,Desktop Computer
